PhysicianFullName,PhysicianBio,PhysicianPhone
Alicia Broussard,Dr. Broussard provides Westbank walk-in care at Gretna Urgent Care and refers patients to West Jefferson when needed.,504-349-6747
Andre Baptiste,Dr. Baptiste provides primary and hospital medicine for families at New Orleans East Hospital.,504-592-6600
Anita Chauvin,"Dr. Chauvin treats solid tumors and coordinates cancer care at East Jefferson, including access to LSU LCMC Health Cancer Center resources.",504-503-4200
Brian LeBlanc,"Dr. LeBlanc is an orthopedic surgeon at West Jefferson Medical Center, treating fractures, joints, and sports injuries on the Westbank.",504-349-6800
Camille Landry,"Dr. Landry is a board-certified cardiologist at East Jefferson General Hospital, focusing on heart failure and preventive cardiology for Jefferson Parish patients.",504-503-4100
Claire Fontenot,Dr. Fontenot provides walk-in urgent care on Magazine Street and refers patients to Touro or Manning Family Children's when a higher level of care is needed.,504-900-3160
Daniel Hebert,"Dr. Hebert staffs the pediatric emergency department at Manning Family Children's, treating urgent and emergent conditions in children.",504-899-9511
Dominic Lirette,"Dr. Lirette is a board-certified ENT surgeon at West Jefferson Medical Center, focusing on sinus, hearing, and throat care for Marrero and Westbank families.",504-349-6420
Elise Boudreaux,"Dr. Boudreaux is an emergency physician at Lakeside Hospital, caring for urgent and emergent conditions around the clock.",504-780-8282
Gabrielle Moreau,"Dr. Moreau is a board-certified otolaryngologist at West Jefferson Medical Center, caring for adults and children with ear, nose, and throat conditions on the Westbank.",504-349-6400
Hannah Scott,Dr. Scott provides neighborhood walk-in care at Lakeview Urgent Care on Harrison Avenue.,504-309-7108
James Thibodeaux,Dr. Thibodeaux provides heart and vascular care at Lakeview Hospital and the LCMC Health Heart and Vascular clinic in Covington.,985-867-2131
Joseph Allemand,Dr. Allemand provides walk-in urgent care for St. Charles Parish patients at the Luling clinic.,504-702-4862
Keisha Williams,"Dr. Williams is an emergency physician at New Orleans East Hospital, caring for patients across the East Bank community.",504-592-6600
Kevin Romero,Dr. Romero sees walk-in patients at Clearview Urgent Care for everyday illnesses and minor injuries.,504-676-5550
Leah Castillo,Dr. Castillo provides inpatient and emergency behavioral health care at University Medical Center New Orleans.,504-702-3000
Marcus Fontenot,"Dr. Fontenot practices orthopedic surgery at Lakeside Hospital, treating joint, sports, and fracture care for Metairie patients.",504-780-8300
Michael Tran,Dr. Tran treats common illnesses and minor injuries at LCMC Health Kenner Urgent Care.,504-389-6600
Nicole Doucet,Dr. Doucet treats cancer patients at West Jefferson Medical Center and coordinates care with system oncology programs.,504-349-6360
Omar Hassan,"Dr. Hassan is a trauma surgeon at University Medical Center New Orleans, the region's Level I Trauma Center.",504-702-3000
Patrice Morales,Dr. Morales provides walk-in urgent care at the Chalmette clinic for non-life-threatening illnesses and injuries.,504-345-1330
Priya Raman,"Dr. Raman is a pediatrician at Manning Family Children's, caring for infants through adolescents with both wellness and complex needs.",504-899-9511
Renee Guidry,"Dr. Guidry is a neurologist with the Neuroscience Institute at Lakeview Hospital, treating stroke, headache, and movement disorders.",985-867-3800
Sarah Melancon,"Dr. Melancon practices obstetrics and gynecology at Touro, including prenatal care and labor and delivery.",504-897-7011
Tanya Ricard,Dr. Ricard sees walk-in patients at Marrero Urgent Care and connects Westbank families with West Jefferson when follow-up is needed.,504-301-2825
Thomas Nguyen,Dr. Nguyen provides digestive care and endoscopy at Touro for Uptown and surrounding New Orleans patients.,504-897-7877
